catalog_page,motor_hp,gear_unit_size,model_type,output_rpm,output_torque_lb_in,service_factor_cat,total_ratio,worm_ratio,second_ratio,ohl_lb,ohl_flange_unit_lb,approx_weight_lb,config_page,dim_page
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,21,524,2.0,80.0,80.0,,1418.0,774.0,29.0,85,106
B54,0.33,SI63,SK 1SI63/H10 - 56C - 71S/4,23,732,1.8,75.0,7.5,10.0,1418.0,772.0,30.0,85,114
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,29,437,2.6,60.0,60.0,,1418.0,776.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,34,383,3.2,50.0,50.0,,1418.0,776.0,29.0,85,106
B54,0.33,SI63,SK 1SI63/H10 - 56C - 71S/4,34,519,1.8,50.0,5.0,10.0,1418.0,774.0,30.0,85,114
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,43,326,4.0,40.0,40.0,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,57,259,5.5,30.0,30.0,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,68,238,5.0,25.0,25.0,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,86,198,6.4,20.0,20.0,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,114,154,8.9,15.0,15.0,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,137,124,9.2,12.5,12.5,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,171,109,10.9,10.0,10.0,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,228,83,14.3,7.5,7.5,,1418.0,779.0,29.0,85,106
B53,0.33,SI63,SK 1SI63 - 56C - 71S/4,342,57,14.3,5.0,5.0,,1418.0,779.0,29.0,85,106
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,0,4448,0.8,1800.0,30.0,60.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,0,4819,0.8,3000.0,30.0,100.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,1,3003,1.1,900.0,30.0,30.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,1,3559,1.0,1200.0,30.0,40.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,1,4078,0.9,1500.0,30.0,50.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,2,2447,1.4,600.0,30.0,20.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,2,2873,1.2,750.0,30.0,25.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,3,2002,1.6,450.0,30.0,15.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,4,1483,2.1,375.0,30.0,12.5,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,5,1557,2.0,300.0,30.0,10.0,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,7,1223,2.5,225.0,30.0,7.5,1800.0,1800.0,44.0,87,116
B55,0.33,SI75,SK 1SI75/40 - 56C - 71S/4,11,890,3.2,150.0,30.0,5.0,1800.0,1800.0,44.0,87,116
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,17,667,2.5,100.0,100.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,21,583,3.1,80.0,80.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,29,474,4.1,60.0,60.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,34,414,5.0,50.0,50.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,43,346,6.4,40.0,40.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,57,259,7.4,30.0,30.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,68,250,8.1,25.0,25.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,86,205,10.6,20.0,20.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,114,158,14.8,15.0,15.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,137,124,15.5,12.5,12.5,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,171,111,18.1,10.0,10.0,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,228,84,24.6,7.5,7.5,,1800.0,1800.0,38.0,87,110
B54,0.33,SI75,SK 1SI75 - 56C - 71S/4,342,57,30.2,5.0,5.0,,1800.0,1800.0,38.0,87,110
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,57,308,0.9,30.0,30.0,,398.0,223.0,17.0,79,94
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,86,247,1.0,20.0,20.0,,356.0,227.0,17.0,79,94
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,115,196,1.3,15.0,15.0,,329.0,230.0,17.0,79,94
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,138,182,1.2,12.5,12.5,,311.0,216.0,17.0,79,94
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,172,145,1.6,10.0,10.0,,295.0,205.0,17.0,79,94
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,229,113,2.1,7.5,7.5,,272.0,189.0,17.0,79,94
B55,0.5,SI31,SK 1SI31 - 56C - 71L/4,344,79,2.6,5.0,5.0,,241.0,167.0,17.0,79,94
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,34,473,0.8,50.0,50.0,,720.0,403.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,43,407,1.0,40.0,40.0,,720.0,407.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,57,333,1.3,30.0,30.0,,720.0,410.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,69,314,1.2,25.0,25.0,,720.0,410.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,86,262,1.5,20.0,20.0,,720.0,412.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,115,207,2.1,15.0,15.0,,720.0,414.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,138,182,2.0,12.5,12.5,,720.0,414.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,172,151,2.5,10.0,10.0,,720.0,414.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,229,116,3.4,7.5,7.5,,673.0,414.0,19.0,81,98
B55,0.5,SI40,SK 1SI40 - 56C - 71L/4,344,81,4.2,5.0,5.0,,590.0,414.0,19.0,81,98
B57,0.5,SI50,SK 1SI50/31 - 56C - 71L/4,11,1254,0.9,150.0,30.0,5.0,1080.0,815.0,26.0,83,116
B56,0.5,SI50,SK 1SI50/H10 - 56C - 71L/4,17,1364,0.8,100.0,10.0,10.0,1080.0,810.0,24.0,83,114
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,22,698,0.8,80.0,80.0,,1080.0,835.0,23.0,83,102
B56,0.5,SI50,SK 1SI50/H10 - 56C - 71L/4,23,1064,1.1,75.0,7.5,10.0,1080.0,824.0,24.0,83,114
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,29,589,1.1,60.0,60.0,,1080.0,837.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,34,527,1.3,50.0,50.0,,1080.0,837.0,23.0,83,102
B56,0.5,SI50,SK 1SI50/H10 - 56C - 71L/4,34,755,1.2,50.0,5.0,10.0,1080.0,833.0,24.0,83,114
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,43,451,1.6,40.0,40.0,,1080.0,839.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,57,360,2.2,30.0,30.0,,1080.0,842.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,69,336,2.0,25.0,25.0,,1080.0,842.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,86,280,2.6,20.0,20.0,,1080.0,842.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,115,218,3.5,15.0,15.0,,1080.0,842.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,138,182,3.5,12.5,12.5,,1080.0,842.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,172,156,4.2,10.0,10.0,,1080.0,842.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,229,120,5.8,7.5,7.5,,1080.0,844.0,23.0,83,102
B56,0.5,SI50,SK 1SI50 - 56C - 71L/4,344,83,7.1,5.0,5.0,,1080.0,821.0,23.0,83,102
B57,0.5,SI63,SK 1SI63/31 - 56C - 71L/4,3,2864,0.8,450.0,30.0,15.0,1296.0,632.0,34.0,85,116
B57,0.5,SI63,SK 1SI63/31 - 56C - 71L/4,4,2182,1.1,375.0,30.0,12.5,1418.0,698.0,34.0,85,116
B57,0.5,SI63,SK 1SI63/31 - 56C - 71L/4,5,2236,1.0,300.0,30.0,10.0,1418.0,693.0,34.0,85,116
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,5,2782,0.8,300.0,30.0,10.0,1316.0,641.0,32.0,85,114
B57,0.5,SI63,SK 1SI63/31 - 56C - 71L/4,7,1759,1.3,225.0,30.0,7.5,1418.0,727.0,34.0,85,116
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,8,2291,0.9,200.0,20.0,10.0,1411.0,689.0,32.0,85,114
B57,0.5,SI63,SK 1SI63/31 - 56C - 71L/4,11,1309,1.6,150.0,30.0,5.0,1418.0,752.0,34.0,85,116
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,11,1854,1.2,150.0,15.0,10.0,1418.0,722.0,32.0,85,114
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,14,1659,1.1,125.0,12.5,10.0,1418.0,734.0,32.0,85,114
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,17,891,1.1,100.0,100.0,,1418.0,767.0,31.0,85,106
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,17,1382,1.2,100.0,10.0,10.0,1418.0,747.0,32.0,85,114
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,22,771,1.4,80.0,80.0,,1418.0,770.0,31.0,85,106
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,23,1077,1.2,75.0,7.5,10.0,1418.0,761.0,32.0,85,114
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,29,644,1.8,60.0,60.0,,1418.0,772.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,34,564,2.2,50.0,50.0,,1418.0,774.0,31.0,85,106
B56,0.5,SI63,SK 1SI63/H10 - 56C - 71L/4,34,764,1.2,50.0,5.0,10.0,1418.0,770.0,32.0,85,114
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,43,480,2.7,40.0,40.0,,1418.0,776.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,57,382,3.7,30.0,30.0,,1418.0,776.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,69,350,3.4,25.0,25.0,,1418.0,779.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,86,291,4.4,20.0,20.0,,1418.0,779.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,115,226,6.1,15.0,15.0,,1418.0,779.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,138,182,6.3,12.5,12.5,,1418.0,779.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,172,160,7.4,10.0,10.0,,1418.0,779.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,229,123,9.7,7.5,7.5,,1418.0,779.0,31.0,85,106
B56,0.5,SI63,SK 1SI63 - 56C - 71L/4,344,84,9.7,5.0,5.0,,1418.0,779.0,31.0,85,106
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,1,4418,0.8,900.0,30.0,30.0,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,2,3600,0.9,600.0,30.0,20.0,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,2,4227,0.8,750.0,30.0,25.0,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,3,2945,1.1,450.0,30.0,15.0,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,4,2182,1.5,375.0,30.0,12.5,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,5,2291,1.4,300.0,30.0,10.0,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,7,1800,1.7,225.0,30.0,7.5,1800.0,1800.0,46.0,87,116
B57,0.5,SI75,SK 1SI75/40 - 56C - 71L/4,11,1309,2.2,150.0,30.0,5.0,1800.0,1800.0,46.0,87,116
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,17,982,1.7,100.0,100.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,22,858,2.1,80.0,80.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,29,698,2.8,60.0,60.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,34,609,3.4,50.0,50.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,43,509,4.3,40.0,40.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,57,382,5.1,30.0,30.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,69,368,5.5,25.0,25.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,86,302,7.2,20.0,20.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,115,232,10.1,15.0,15.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,138,182,10.5,12.5,12.5,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,172,164,12.3,10.0,10.0,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,229,124,16.7,7.5,7.5,,1800.0,1800.0,40.0,87,110
B56,0.5,SI75,SK 1SI75 - 56C - 71L/4,344,85,20.5,5.0,5.0,,1800.0,1800.0,40.0,87,110
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,57,507,0.9,30.0,30.0,,720.0,403.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,68,477,0.8,25.0,25.0,,720.0,403.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,86,399,1.0,20.0,20.0,,720.0,407.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,114,316,1.4,15.0,15.0,,720.0,410.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,137,277,1.3,12.5,12.5,,720.0,412.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,171,230,1.6,10.0,10.0,,720.0,412.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,228,176,2.2,7.5,7.5,,662.0,414.0,23.0,81,98
B57,0.75,SI40,SK 1SI40 - 56C - 80S/4,342,123,2.7,5.0,5.0,,583.0,414.0,23.0,81,98
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,34,803,0.8,50.0,50.0,,1080.0,833.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,43,686,1.1,40.0,40.0,,1080.0,835.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,57,548,1.5,30.0,30.0,,1080.0,837.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,68,512,1.3,25.0,25.0,,1080.0,839.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,86,426,1.7,20.0,20.0,,1080.0,839.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,114,332,2.3,15.0,15.0,,1080.0,842.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,137,277,2.3,12.5,12.5,,1080.0,842.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,171,238,2.8,10.0,10.0,,1080.0,842.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,228,183,3.8,7.5,7.5,,1080.0,842.0,27.0,83,102
B57,0.75,SI50,SK 1SI50 - 56C - 80S/4,342,126,4.6,5.0,5.0,,1080.0,817.0,27.0,83,102
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,21,1174,0.9,80.0,80.0,,1418.0,756.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,29,980,1.2,60.0,60.0,,1418.0,763.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,34,858,1.4,50.0,50.0,,1418.0,767.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,43,731,1.8,40.0,40.0,,1418.0,772.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,57,581,2.4,30.0,30.0,,1418.0,774.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,68,533,2.2,25.0,25.0,,1418.0,774.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,86,443,2.9,20.0,20.0,,1418.0,776.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,114,345,4.0,15.0,15.0,,1418.0,779.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,137,277,4.1,12.5,12.5,,1418.0,779.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,171,244,4.9,10.0,10.0,,1418.0,779.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,228,187,6.4,7.5,7.5,,1418.0,779.0,34.0,85,106
B57,0.75,SI63,SK 1SI63 - 56C - 80S/4,342,127,6.4,5.0,5.0,,1418.0,779.0,34.0,85,106
B58,0.75,SI75,SK 1SI75/40 - 56C - 80S/4,4,3321,1.0,375.0,30.0,12.5,1800.0,1800.0,49.0,87,116
B58,0.75,SI75,SK 1SI75/40 - 56C - 80S/4,5,3487,0.9,300.0,30.0,10.0,1800.0,1800.0,49.0,87,116
B58,0.75,SI75,SK 1SI75/40 - 56C - 80S/4,7,2740,1.1,225.0,30.0,7.5,1800.0,1800.0,49.0,87,116
B58,0.75,SI75,SK 1SI75/40 - 56C - 80S/4,11,1993,1.4,150.0,30.0,5.0,1800.0,1800.0,49.0,87,116
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,17,1495,1.1,100.0,100.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,21,1306,1.4,80.0,80.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,29,1063,1.8,60.0,60.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,34,927,2.2,50.0,50.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,43,775,2.9,40.0,40.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,57,581,3.3,30.0,30.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,68,560,3.6,25.0,25.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,86,459,4.7,20.0,20.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,114,353,6.6,15.0,15.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,137,277,6.9,12.5,12.5,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,171,249,8.1,10.0,10.0,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,228,189,11.0,7.5,7.5,,1800.0,1800.0,44.0,87,110
B58,0.75,SI75,SK 1SI75 - 56C - 80S/4,342,129,13.5,5.0,5.0,,1800.0,1800.0,44.0,87,110
B58,1.0,SI40,SK 1SI40 - 56C - 80LP/4,110,438,1.0,15.0,15.0,,720.0,405.0,,,
B58,1.0,SI40,SK 1SI40 - 140TC - 80LP/4,117,412,1.1,15.0,15.0,,720.0,405.0,,,
B58,1.0,SI40,SK 1SI40 - 56C - 80LP/4,132,384,0.9,12.5,12.5,,720.0,407.0,,,
B58,1.0,SI40,SK 1SI40 - 140TC - 80LP/4,140,362,1.0,12.5,12.5,,720.0,407.0,,,
B58,1.0,SI40,SK 1SI40 - 56C - 80LP/4,165,319,1.2,10.0,10.0,,713.0,410.0,,,
B58,1.0,SI40,SK 1SI40 - 140TC - 80LP/4,175,301,1.2,10.0,10.0,,713.0,410.0,,,
B58,1.0,SI40,SK 1SI40 - 56C - 80LH/4,220,245,1.6,7.5,7.5,,655.0,412.0,,,
B58,1.0,SI40,SK 1SI40 - 140TC - 80LP/4,233,231,1.7,7.5,7.5,,655.0,412.0,,,
B58,1.0,SI40,SK 1SI40 - 56C - 80L/4,330,171,2.0,5.0,5.0,,576.0,414.0,25.0,81,98
B58,1.0,SI40,SK 1SI40 - 140TC - 80LH/4,350,161,2.1,5.0,5.0,,576.0,414.0,25.0,81,98
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,41,953,0.8,40.0,40.0,,1080.0,828.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,44,888,0.8,40.0,40.0,,1080.0,828.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,55,761,1.0,30.0,30.0,,1080.0,833.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,58,722,1.1,30.0,30.0,,1080.0,833.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,66,711,0.9,25.0,25.0,,1080.0,835.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,70,670,1.0,25.0,25.0,,1080.0,835.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,83,592,1.2,20.0,20.0,,1080.0,837.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,88,555,1.3,20.0,20.0,,1080.0,837.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,110,461,1.7,15.0,15.0,,1080.0,839.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,117,433,1.8,15.0,15.0,,1080.0,839.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,132,384,1.7,12.5,12.5,,1080.0,839.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,140,362,1.8,12.5,12.5,,1080.0,839.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LP/4,165,330,2.0,10.0,10.0,,1080.0,842.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,175,311,2.1,10.0,10.0,,1080.0,842.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80LH/4,220,254,2.7,7.5,7.5,,1080.0,842.0,,,
B58,1.0,SI50,SK 1SI50 - 140TC - 80LP/4,233,240,2.9,7.5,7.5,,1080.0,842.0,,,
B58,1.0,SI50,SK 1SI50 - 56C - 80L/4,330,175,3.3,5.0,5.0,,1080.0,819.0,29.0,83,102
B58,1.0,SI50,SK 1SI50 - 140TC - 80LH/4,350,165,3.5,5.0,5.0,,1080.0,819.0,29.0,83,102
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,28,1360,0.8,60.0,60.0,,1418.0,749.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,29,1290,0.9,60.0,60.0,,1418.0,749.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,33,1191,1.0,50.0,50.0,,1418.0,756.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,35,1123,1.1,50.0,50.0,,1418.0,756.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,41,1014,1.3,40.0,40.0,,1418.0,763.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,44,951,1.4,40.0,40.0,,1418.0,763.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,55,807,1.8,30.0,30.0,,1418.0,770.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,58,765,1.9,30.0,30.0,,1418.0,770.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,66,740,1.6,25.0,25.0,,1418.0,770.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,70,698,1.7,25.0,25.0,,1418.0,770.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,83,615,2.1,20.0,20.0,,1418.0,774.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,88,577,2.2,20.0,20.0,,1418.0,774.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,110,478,2.9,15.0,15.0,,1418.0,776.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,117,449,3.1,15.0,15.0,,1418.0,776.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,132,384,3.0,12.5,12.5,,1418.0,776.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,140,362,3.2,12.5,12.5,,1418.0,776.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LP/4,165,338,3.5,10.0,10.0,,1418.0,779.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,175,319,3.7,10.0,10.0,,1418.0,779.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80LH/4,220,259,4.6,7.5,7.5,,1418.0,779.0,,,
B59,1.0,SI63,SK 1SI63 - 140TC - 80LP/4,233,245,5.0,7.5,7.5,,1418.0,779.0,,,
B59,1.0,SI63,SK 1SI63 - 56C - 80L/4,330,177,4.6,5.0,5.0,,1418.0,779.0,37.0,85,106
