catalog_page,motor_hp,gear_unit_size,model_type,output_rpm,output_torque_lb_in,service_factor_cat,total_ratio,worm_ratio,second_ratio,ohl_lb,ohl_flange_unit_lb,approx_weight_lb,config_page,dim_page
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,17,354,0.9,100.0,100.0,,720.0,410.0,15.0,81,98
B51,0.25,SI40,SK 1SI40/H10 - 56C - 63L/4,17,698,0.9,100.0,10.0,10.0,720.0,389.0,16.0,81,114
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,21,321,1.0,80.0,80.0,,720.0,410.0,15.0,81,98
B51,0.25,SI40,SK 1SI40/H10 - 56C - 63L/4,22,545,1.2,75.0,7.5,10.0,720.0,401.0,16.0,81,114
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,28,275,1.3,60.0,60.0,,720.0,412.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,34,249,1.5,50.0,50.0,,720.0,412.0,15.0,81,98
B51,0.25,SI40,SK 1SI40/H10 - 56C - 63L/4,34,387,1.4,50.0,5.0,10.0,720.0,407.0,16.0,81,114
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,42,214,1.9,40.0,40.0,,720.0,412.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,56,175,2.5,30.0,30.0,,720.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,67,165,2.3,25.0,25.0,,720.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,84,138,2.9,20.0,20.0,,720.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,112,109,4.0,15.0,15.0,,720.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,134,96,3.8,12.5,12.5,,720.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,168,79,4.7,10.0,10.0,,720.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,224,61,6.4,7.5,7.5,,691.0,414.0,15.0,81,98
B50,0.25,SI40,SK 1SI40 - 56C - 63L/4,336,43,7.9,5.0,5.0,,603.0,414.0,15.0,81,98
B52,0.25,SI50,SK 1SI50/31 - 56C - 63L/4,2,1778,0.8,600.0,30.0,20.0,1080.0,785.0,21.0,83,116
B52,0.25,SI50,SK 1SI50/31 - 56C - 63L/4,3,1462,0.9,450.0,30.0,15.0,1080.0,806.0,21.0,83,116
B52,0.25,SI50,SK 1SI50/31 - 56C - 63L/4,4,1147,1.1,375.0,30.0,12.5,1080.0,819.0,21.0,83,116
B52,0.25,SI50,SK 1SI50/31 - 56C - 63L/4,5,1118,1.2,300.0,30.0,10.0,1080.0,821.0,21.0,83,116
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,5,1405,0.9,300.0,30.0,10.0,1080.0,808.0,20.0,83,114
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,6,1386,0.8,250.0,25.0,10.0,1080.0,808.0,20.0,83,114
B52,0.25,SI50,SK 1SI50/31 - 56C - 63L/4,7,882,1.4,225.0,30.0,7.5,1080.0,830.0,21.0,83,116
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,8,1166,1.0,200.0,20.0,10.0,1080.0,819.0,20.0,83,114
B52,0.25,SI50,SK 1SI50/31 - 56C - 63L/4,11,660,1.8,150.0,30.0,5.0,1080.0,835.0,21.0,83,116
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,11,946,1.3,150.0,15.0,10.0,1080.0,828.0,20.0,83,114
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,13,872,1.2,125.0,12.5,10.0,1080.0,830.0,20.0,83,114
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,17,411,1.3,100.0,100.0,,1080.0,839.0,18.0,83,102
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,17,717,1.5,100.0,10.0,10.0,1080.0,835.0,20.0,83,114
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,21,367,1.6,80.0,80.0,,1080.0,842.0,18.0,83,102
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,22,559,2.0,75.0,7.5,10.0,1080.0,837.0,20.0,83,114
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,28,310,2.1,60.0,60.0,,1080.0,842.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,34,277,2.5,50.0,50.0,,1080.0,842.0,18.0,83,102
B51,0.25,SI50,SK 1SI50/H10 - 56C - 63L/4,34,397,2.3,50.0,5.0,10.0,1080.0,839.0,20.0,83,114
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,42,237,3.1,40.0,40.0,,1080.0,842.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,56,189,4.2,30.0,30.0,,1080.0,842.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,67,177,3.8,25.0,25.0,,1080.0,842.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,84,147,4.9,20.0,20.0,,1080.0,842.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,112,115,6.7,15.0,15.0,,1080.0,844.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,134,96,6.7,12.5,12.5,,1080.0,844.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,168,82,8.1,10.0,10.0,,1080.0,844.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,224,63,10.9,7.5,7.5,,1080.0,844.0,18.0,83,102
B50,0.25,SI50,SK 1SI50 - 56C - 63L/4,336,43,13.4,5.0,5.0,,1080.0,835.0,18.0,83,102
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,0,3269,0.8,1800.0,30.0,60.0,1190.0,581.0,29.0,85,116
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,0,3670,0.8,2400.0,30.0,80.0,1060.0,518.0,29.0,85,116
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,1,2237,1.1,900.0,30.0,30.0,1418.0,693.0,29.0,85,116
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,1,2638,1.0,1200.0,30.0,40.0,1346.0,657.0,29.0,85,116
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,1,2868,0.9,1500.0,30.0,50.0,1296.0,632.0,29.0,85,116
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,2,1835,1.3,600.0,30.0,20.0,1418.0,722.0,29.0,85,116
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,2,2151,1.2,750.0,30.0,25.0,1418.0,700.0,29.0,85,116
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,2,2179,0.9,600.0,60.0,10.0,1418.0,698.0,27.0,85,114
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,3,1505,1.6,450.0,30.0,15.0,1418.0,743.0,29.0,85,116
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,3,1959,1.0,500.0,50.0,10.0,1418.0,716.0,27.0,85,114
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,4,1147,2.0,375.0,30.0,12.5,1418.0,758.0,29.0,85,116
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,4,1759,1.2,400.0,40.0,10.0,1418.0,727.0,27.0,85,114
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,5,1176,2.0,300.0,30.0,10.0,1418.0,756.0,29.0,85,116
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,5,1462,1.6,300.0,30.0,10.0,1418.0,745.0,27.0,85,114
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,6,1410,1.4,250.0,25.0,10.0,1418.0,747.0,27.0,85,114
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,7,925,2.4,225.0,30.0,7.5,1418.0,765.0,29.0,85,116
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,8,1204,1.7,200.0,20.0,10.0,1418.0,756.0,27.0,85,114
B52,0.25,SI63,SK 1SI63/31 - 56C - 63L/4,11,688,3.0,150.0,30.0,5.0,1418.0,772.0,29.0,85,116
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,11,975,2.3,150.0,15.0,10.0,1418.0,765.0,27.0,85,114
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,13,872,2.1,125.0,12.5,10.0,1418.0,767.0,27.0,85,114
B51,0.25,SI63,SK 1SI63 - 56C - 63L/4,17,468,2.1,100.0,100.0,,1418.0,776.0,26.0,85,106
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,17,726,2.3,100.0,10.0,10.0,1418.0,772.0,27.0,85,114
B51,0.25,SI63,SK 1SI63 - 56C - 63L/4,21,405,2.6,80.0,80.0,,1418.0,776.0,26.0,85,106
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,22,566,2.3,75.0,7.5,10.0,1418.0,774.0,27.0,85,114
B51,0.25,SI63,SK 1SI63 - 56C - 63L/4,28,338,3.4,60.0,60.0,,1418.0,779.0,26.0,85,106
B51,0.25,SI63,SK 1SI63 - 56C - 63L/4,34,296,4.1,50.0,50.0,,1418.0,779.0,26.0,85,106
B51,0.25,SI63,SK 1SI63/H10 - 56C - 63L/4,34,401,2.3,50.0,5.0,10.0,1418.0,776.0,27.0,85,114
B51,0.25,SI63,SK 1SI63 - 56C - 63L/4,42,252,5.2,40.0,40.0,,1418.0,779.0,26.0,85,106
