catalog_page,category,part_numbers,c1,c2,c3,c4,c5,c6,raw_line
B81,C-face 575V-60Hz Energy Efficient Motor Part Number,33610093,"80LH/4-143TC 575V-60Hz, 1 hp 33610093",,,,,,"80LH/4-143TC 575V-60Hz, 1 hp 33610093"
B81,C-face 575V-60Hz Energy Efficient Motor Part Number,34110093,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093",,,,,,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093"
B81,C-face 575V-60Hz Energy Efficient Motor Part Number,34610093,"90LH/4-145TC 575V-60Hz, 2 hp 34610093",,,,,,"90LH/4-145TC 575V-60Hz, 2 hp 34610093"
B81,C-face 230/460V-60Hz Premium Efficient Motor Part Number,33610294,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294",,,,,,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
B81,C-face 230/460V-60Hz Premium Efficient Motor Part Number,33610292,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292",,,,,,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292"
B81,C-face 230/460V-60Hz Premium Efficient Motor Part Number,34110292,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292",,,,,,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292"
B81,C-face 230/460V-60Hz Premium Efficient Motor Part Number,34610292,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292",,,,,,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292"
B81,C-face 575V-60Hz Premium Efficient Motor Part Number,33610295,"80LP/4-56C 575V-60Hz, 1 hp 33610295",,,,,,"80LP/4-56C 575V-60Hz, 1 hp 33610295"
B81,C-face 575V-60Hz Premium Efficient Motor Part Number,33610293,"80LP/4-143TC 575V-60Hz, 1 hp 33610293",,,,,,"80LP/4-143TC 575V-60Hz, 1 hp 33610293"
B81,C-face 575V-60Hz Premium Efficient Motor Part Number,34110293,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293",,,,,,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293"
B81,C-face 575V-60Hz Premium Efficient Motor Part Number,34610293,"90LP/4-145TC 575V-60Hz, 2 hp 34610293",,,,,,"90LP/4-145TC 575V-60Hz, 2 hp 34610293"
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592050;60591050,i=5 60592050 60591050,,,,,,i=5 60592050 60591050
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592080;60591080,i=7 .5 60592080 60591080,,,,,,i=7 .5 60592080 60591080
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592100;60591100,i=10 60592100 60591100,,,,,,i=10 60592100 60591100
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592130;60591130,i=12.5 60592130 60591130,,,,,,i=12.5 60592130 60591130
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592150;60591150,i=15 60592150 60591150,,,,,,i=15 60592150 60591150
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592200;60591200,i=20 60592200 60591200,,,,,,i=20 60592200 60591200
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592250;60591250,i=25 60592250 60591250,,,,,,i=25 60592250 60591250
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592300;60591300,i=30 60592300 60591300,,,,,,i=30 60592300 60591300
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592400;60591400,i=40 60592400 60591400,,,,,,i=40 60592400 60591400
