catalog_page,category,part_numbers,c1,c2,c3,c4,c5,c6,raw_line
B85,NEMA and IEC Adapter 106 & 118 Part Number,60695240,IEC 90 B5 A200 60695240,,,,,,IEC 90 B5 A200 60695240
B85,Plug in Shaft - Inch  122 Part Number,60693010,Shaft 1.125” x 60mm 60693010,,,,,,Shaft 1.125” x 60mm 60693010
B85,Plug in Shaft - Inch  122 Part Number,60693110,Double Shaft 1.125” x 60mm 60693110,,,,,,Double Shaft 1.125” x 60mm 60693110
B85,Plug in Shaft - Inch  122 Part Number,60693210,Shaft for Output Flange B5 1.125” x 60mm 60693210,,,,,,Shaft for Output Flange B5 1.125” x 60mm 60693210
B85,Plug in Shaft - Metric  122 Part Number,60693000,Plug-in Shaft 25mm x 50mm 60693000,,,,,,Plug-in Shaft 25mm x 50mm 60693000
B85,Plug in Shaft - Metric  122 Part Number,60693100,Double Plug-in Shaft 25mm x 50mm 60693100,,,,,,Double Plug-in Shaft 25mm x 50mm 60693100
B85,Plug in Shaft - Metric  122 Part Number,60693200,Shaft for Output Flange B5 25mm x 50mm 60693200,,,,,,Shaft for Output Flange B5 25mm x 50mm 60693200
B85,Hollow Shaft Bushing  107 Part Number,60693400,Hollow Shaft Bushing 1.00” 60693400,,,,,,Hollow Shaft Bushing 1.00” 60693400
B85,Hollow Shaft Bushing  107 Part Number,60693410,Hollow Shaft Bushing 1.1875” 60693410,,,,,,Hollow Shaft Bushing 1.1875” 60693410
B85,Hollow Shaft Bushing  107 Part Number,60693420,Hollow Shaft Bushing 1.25” 60693420,,,,,,Hollow Shaft Bushing 1.25” 60693420
B85,Hollow Shaft Bushing  107 Part Number,60693800,I Flange - 200mm 60693800,,,,,,I Flange - 200mm 60693800
B85,Hollow Shaft Bushing  107 Part Number,60693810,"II Flange - 180mm, Square Flange, Female Pilot 60693810",,,,,,"II Flange - 180mm, Square Flange, Female Pilot 60693810"
B85,Hollow Shaft Bushing  107 Part Number,60693820,"IV Flange, 160mm 60693820",,,,,,"IV Flange, 160mm 60693820"
B85,Shaft Cover  107 Part Number,60693950,Shaft Cover 60693950,,,,,,Shaft Cover 60693950
B85,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31110012,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012",,,,,,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012"
B85,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31610012,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012",,,,,,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012"
B85,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32110012,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012",,,,,,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
B85,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32610012,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012",,,,,,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
B85,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33110012,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012",,,,,,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
B85,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33610022,"80L/4-56C 230/460V-60Hz, 1 hp 33610022",,,,,,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
B85,C-face 575V-60Hz Standard Efficiency Motor Part Number,31110013,"63S/4-56C 575V-60Hz, 1/6 hp 31110013",,,,,,"63S/4-56C 575V-60Hz, 1/6 hp 31110013"
B85,C-face 575V-60Hz Standard Efficiency Motor Part Number,31610013,"63L/4-56C 575V-60Hz, 1/4 hp 31610013",,,,,,"63L/4-56C 575V-60Hz, 1/4 hp 31610013"
B85,C-face 575V-60Hz Standard Efficiency Motor Part Number,32110013,"71S/4-56C 575V-60Hz, 1/3 hp 32110013",,,,,,"71S/4-56C 575V-60Hz, 1/3 hp 32110013"
B85,C-face 575V-60Hz Standard Efficiency Motor Part Number,32610013,"71L/4-56C 575V-60Hz, 1/2 hp 32610013",,,,,,"71L/4-56C 575V-60Hz, 1/2 hp 32610013"
B85,C-face 575V-60Hz Standard Efficiency Motor Part Number,33110013,"80S/4-56C 575V-60Hz, 3/4 hp 33110013",,,,,,"80S/4-56C 575V-60Hz, 3/4 hp 33110013"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610094,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094",,,,,,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610092,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092",,,,,,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34110092,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092",,,,,,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34610092,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092",,,,,,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,35110092,"100LH/4-182TC 230/460V-60Hz, 3 hp 35110092",,,,,,"100LH/4-182TC 230/460V-60Hz, 3 hp 35110092"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,36110092,"112MH/4-184TC 230/460V-60Hz, 5 hp 36110092",,,,,,"112MH/4-184TC 230/460V-60Hz, 5 hp 36110092"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,33610095,"80LH/4-56C 575V-60Hz, 1 hp 33610095",,,,,,"80LH/4-56C 575V-60Hz, 1 hp 33610095"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,33610093,"80LH/4-143TC 575V-60Hz, 1 hp 33610093",,,,,,"80LH/4-143TC 575V-60Hz, 1 hp 33610093"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,34110093,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093",,,,,,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,34610093,"90LH/4-145TC 575V-60Hz, 2 hp 34610093",,,,,,"90LH/4-145TC 575V-60Hz, 2 hp 34610093"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,35110093,"100LH/4-182TC 575V-60Hz, 3 hp 35110093",,,,,,"100LH/4-182TC 575V-60Hz, 3 hp 35110093"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,36110093,"112MH/4-184TC 575V-60Hz, 5 hp 36110093",,,,,,"112MH/4-184TC 575V-60Hz, 5 hp 36110093"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610294,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294",,,,,,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610292,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292",,,,,,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34110292,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292",,,,,,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34610292,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292",,,,,,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,35110292,"100LP/4-182TC 230/460V-60Hz, 3 hp 35110292",,,,,,"100LP/4-182TC 230/460V-60Hz, 3 hp 35110292"
B85,C-face 230/460V-60Hz Energy Efficient Motor Part Number,36110292,"112MP/4-184TC 230/460V-60Hz, 5 hp 36110292",,,,,,"112MP/4-184TC 230/460V-60Hz, 5 hp 36110292"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,33610295,"80LP/4-56C 575V-60Hz, 1 hp 33610295",,,,,,"80LP/4-56C 575V-60Hz, 1 hp 33610295"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,33610293,"80LP/4-143TC 575V-60Hz, 1 hp 33610293",,,,,,"80LP/4-143TC 575V-60Hz, 1 hp 33610293"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,34110293,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293",,,,,,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,34610293,"90LP/4-145TC 575V-60Hz, 2 hp 34610293",,,,,,"90LP/4-145TC 575V-60Hz, 2 hp 34610293"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,35110293,"100LP/4-182TC 575V-60Hz, 3 hp 35110293",,,,,,"100LP/4-182TC 575V-60Hz, 3 hp 35110293"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,36110293,"112MP/4-184TC 575V-60Hz, 5 hp 36110293",,,,,,"112MP/4-184TC 575V-60Hz, 5 hp 36110293"
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,60694600,Foot Plate 0.86” / 5.25”x 8.00” 60694600,,,,,,Foot Plate 0.86” / 5.25”x 8.00” 60694600
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,60693500,Open Vent 60693500,,,,,,Open Vent 60693500
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,22008056,AUTOVENT™ 22008056,,,,,,AUTOVENT™ 22008056
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,60282930,Fixing Kit (Inch) 60282930,,,,,,Fixing Kit (Inch) 60282930
B85,C-face 575V-60Hz Energy Efficient Motor Part Number,60282310,Fixing (Metric) 60282310,,,,,,Fixing (Metric) 60282310
B87,CONFIGURATION,60793900,Torque Arm 60793900,,,,,,Torque Arm 60793900
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792050;60791050,Ratio i=5 60792050 60791050,,,,,,Ratio i=5 60792050 60791050
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792080;60791080,Ratio i=7 .5 60792080 60791080,,,,,,Ratio i=7 .5 60792080 60791080
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792100;60791100,Ratio i=10 60792100 60791100,,,,,,Ratio i=10 60792100 60791100
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792130;60791130,Ratio i=12.5 60792130 60791130,,,,,,Ratio i=12.5 60792130 60791130
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792150;60791150,Ratio i=15 60792150 60791150,,,,,,Ratio i=15 60792150 60791150
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792200;60791200,Ratio i=20 60792200 60791200,,,,,,Ratio i=20 60792200 60791200
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792250;60791250,Ratio i=25 60792250 60791250,,,,,,Ratio i=25 60792250 60791250
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792300;60791300,Ratio i=30 60792300 60791300,,,,,,Ratio i=30 60792300 60791300
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792400;60791400,Ratio i=40 60792400 60791400,,,,,,Ratio i=40 60792400 60791400
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792500;60791500,Ratio i=50 60792500 60791500,,,,,,Ratio i=50 60792500 60791500
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792600;60791600,Ratio i=60 60792600 60791600,,,,,,Ratio i=60 60792600 60791600
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792800;60791800,Ratio i=80 60792800 60791800,,,,,,Ratio i=80 60792800 60791800
B87,Wormgearbox 1.9375 Hollow Shaft 35mm Hollow Shaft,60792000;60791000,Ratio i=100 60792000 60791000,,,,,,Ratio i=100 60792000 60791000
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795500,NEMA 56C 60795500,,,,,,NEMA 56C 60795500
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795510,NEMA 140C 60795510,,,,,,NEMA 140C 60795510
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795520,NEMA 180C 60795520,,,,,,NEMA 180C 60795520
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795020,IEC 71 B14 C105 60795020,,,,,,IEC 71 B14 C105 60795020
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795120,IEC 71 B14 C140 60795120,,,,,,IEC 71 B14 C140 60795120
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795220,IEC 71 B5 A160 60795220,,,,,,IEC 71 B5 A160 60795220
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795030,IEC 80 B14 C120 60795030,,,,,,IEC 80 B14 C120 60795030
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795130,IEC 80 B14 C160 60795130,,,,,,IEC 80 B14 C160 60795130
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795230,IEC 80 B5 A200 60795230,,,,,,IEC 80 B5 A200 60795230
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795040,IEC 90 B14 C140 60795040,,,,,,IEC 90 B14 C140 60795040
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795140,IEC 90 B14 C160 60795140,,,,,,IEC 90 B14 C160 60795140
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795240,IEC 90 B5 A200 60795240,,,,,,IEC 90 B5 A200 60795240
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795050,IEC 100 B14 C160 60795050,,,,,,IEC 100 B14 C160 60795050
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795150,IEC 100 B14 C200 60795150,,,,,,IEC 100 B14 C200 60795150
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795250,IEC 100 B5 A250 60795250,,,,,,IEC 100 B5 A250 60795250
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795050,IEC 112 B14 C160 60795050,,,,,,IEC 112 B14 C160 60795050
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795150,IEC 112 B14 C200 60795150,,,,,,IEC 112 B14 C200 60795150
B87,NEMA & IEC Adapter 110 & 118 Part Number,60795250,IEC 112 B5 A250 60795250,,,,,,IEC 112 B5 A250 60795250
B87,Plug in Output Shaft - Inch  122 Part Number,60793010,Shaft 1.375” x 70mm 60793010,,,,,,Shaft 1.375” x 70mm 60793010
B87,Plug in Output Shaft - Inch  122 Part Number,60793110,Double Shaft 1.375” x 70mm 60793110,,,,,,Double Shaft 1.375” x 70mm 60793110
B87,Plug in Output Shaft - Inch  122 Part Number,60793210,Shaft for Output Flange B5 1.375” x 70mm 60793210,,,,,,Shaft for Output Flange B5 1.375” x 70mm 60793210
B87,Plug in Output Shaft - Metric  122 Part Number,60793000,Plug-in Shaft 35mm x 70mm 60793000,,,,,,Plug-in Shaft 35mm x 70mm 60793000
B87,Plug in Output Shaft - Metric  122 Part Number,60793100,Double Plug-in Shaft 35mm x 70mm 60793100,,,,,,Double Plug-in Shaft 35mm x 70mm 60793100
B87,Plug in Output Shaft - Metric  122 Part Number,60793200,Shaft for Output Flange B5 35mm x 70mm 60793200,,,,,,Shaft for Output Flange B5 35mm x 70mm 60793200
B87,Hollow Shaft Bushing  111 Part Number,60793430,Hollow Shaft Bushing 1.1875” 60793430,,,,,,Hollow Shaft Bushing 1.1875” 60793430
B87,Hollow Shaft Bushing  111 Part Number,60793400,Hollow Shaft Bushing 1.250” 60793400,,,,,,Hollow Shaft Bushing 1.250” 60793400
B87,Hollow Shaft Bushing  111 Part Number,60793420,Hollow Shaft Bushing 1.4375” 60793420,,,,,,Hollow Shaft Bushing 1.4375” 60793420
B87,Hollow Shaft Bushing  111 Part Number,60793410,Hollow Shaft Bushing 1.500” 60793410,,,,,,Hollow Shaft Bushing 1.500” 60793410
B87,Hollow Shaft Bushing  111 Part Number,60793800,II Flange - 200mm 60793800,,,,,,II Flange - 200mm 60793800
B87,Shaft Cover  107 Part Number,60793950,Shaft Cover 60793950,,,,,,Shaft Cover 60793950
B87,Double Worm Adapter  116 Part Number,60794100,Inch 1.000“ (requires,) 60794100,,,,,Inch 1.000“ (requires     ) 60794100
B87,Double Worm Adapter  116 Part Number,60794000,Metric 14mm (requires,) 60794000,,,,,Metric 14mm (requires     ) 60794000
B87,Solid Input Shaft  119 Part Number,60794210,Solid Input Shaft 0.875” x 1.97” 60794210,,,,,,Solid Input Shaft 0.875” x 1.97” 60794210
B87,Solid Input Shaft  119 Part Number,60794200,Solid Input Shaft 24mm x 50mm 60794200,,,,,,Solid Input Shaft 24mm x 50mm 60794200
B87,Solid Input Shaft  119 Part Number,61282910,Fixing Kit (Inch) 61282910,,,,,,Fixing Kit (Inch) 61282910
B87,Solid Input Shaft  119 Part Number,82282310,Fixing Kit (Metric) 82282310,,,,,,Fixing Kit (Metric) 82282310
B87,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31110012,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012",,,,,,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012"
B87,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31610012,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012",,,,,,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012"
B87,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32110012,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012",,,,,,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
B87,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32610012,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012",,,,,,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
B87,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33110012,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012",,,,,,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
B87,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33610022,"80L/4-56C 230/460V-60Hz, 1 hp 33610022",,,,,,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
B87,C-face 575V-60Hz Standard Efficiency Motor Part Number,31110013,"63S/4-56C 575V-60Hz, 1/6 hp 31110013",,,,,,"63S/4-56C 575V-60Hz, 1/6 hp 31110013"
B87,C-face 575V-60Hz Standard Efficiency Motor Part Number,31610013,"63L/4-56C 575V-60Hz, 1/4 hp 31610013",,,,,,"63L/4-56C 575V-60Hz, 1/4 hp 31610013"
B87,C-face 575V-60Hz Standard Efficiency Motor Part Number,32110013,"71S/4-56C 575V-60Hz, 1/3 hp 32110013",,,,,,"71S/4-56C 575V-60Hz, 1/3 hp 32110013"
B87,C-face 575V-60Hz Standard Efficiency Motor Part Number,32610013,"71L/4-56C 575V-60Hz, 1/2 hp 32610013",,,,,,"71L/4-56C 575V-60Hz, 1/2 hp 32610013"
B87,C-face 575V-60Hz Standard Efficiency Motor Part Number,33110013,"80S/4-56C 575V-60Hz, 3/4 hp 33110013",,,,,,"80S/4-56C 575V-60Hz, 3/4 hp 33110013"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610094,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094",,,,,,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610092,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092",,,,,,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34110092,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092",,,,,,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34610092,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092",,,,,,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,35110092,"100LH/4-182TC 230/460V-60Hz, 3 hp 35110092",,,,,,"100LH/4-182TC 230/460V-60Hz, 3 hp 35110092"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,36110092,"112MH/4-184TC 230/460V-60Hz, 5 hp 36110092",,,,,,"112MH/4-184TC 230/460V-60Hz, 5 hp 36110092"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,33610095,"80LH/4-56C 575V-60Hz, 1 hp 33610095",,,,,,"80LH/4-56C 575V-60Hz, 1 hp 33610095"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,33610093,"80LH/4-143TC 575V-60Hz, 1 hp 33610093",,,,,,"80LH/4-143TC 575V-60Hz, 1 hp 33610093"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,34110093,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093",,,,,,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,34610093,"90LH/4-145TC 575V-60Hz, 2 hp 34610093",,,,,,"90LH/4-145TC 575V-60Hz, 2 hp 34610093"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,35110093,"100LH/4-182TC 575V-60Hz, 3 hp 35110093",,,,,,"100LH/4-182TC 575V-60Hz, 3 hp 35110093"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,36110093,"112MH/4-184TC 575V-60Hz, 5 hp 36110093",,,,,,"112MH/4-184TC 575V-60Hz, 5 hp 36110093"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610294,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294",,,,,,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610292,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292",,,,,,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34110292,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292",,,,,,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34610292,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292",,,,,,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,35110292,"100LP/4-182TC 230/460V-60Hz, 3 hp 35110292",,,,,,"100LP/4-182TC 230/460V-60Hz, 3 hp 35110292"
B87,C-face 230/460V-60Hz Energy Efficient Motor Part Number,36110292,"112MP/4-184TC 230/460V-60Hz, 5 hp 36110292",,,,,,"112MP/4-184TC 230/460V-60Hz, 5 hp 36110292"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,33610295,"80LP/4-56C 575V-60Hz, 1 hp 33610295",,,,,,"80LP/4-56C 575V-60Hz, 1 hp 33610295"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,33610293,"80LP/4-143TC 575V-60Hz, 1 hp 33610293",,,,,,"80LP/4-143TC 575V-60Hz, 1 hp 33610293"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,34110293,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293",,,,,,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,34610293,"90LP/4-145TC 575V-60Hz, 2 hp 34610293",,,,,,"90LP/4-145TC 575V-60Hz, 2 hp 34610293"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,35110293,"100LP/4-182TC 575V-60Hz, 3 hp 35110293",,,,,,"100LP/4-182TC 575V-60Hz, 3 hp 35110293"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,36110293,"112MP/4-184TC 575V-60Hz, 5 hp 36110293",,,,,,"112MP/4-184TC 575V-60Hz, 5 hp 36110293"
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,60693500,Open Vent 60693500,,,,,,Open Vent 60693500
B87,C-face 575V-60Hz Energy Efficient Motor Part Number,22008056,AUTOVENT™ 22008056,,,,,,AUTOVENT™ 22008056
B88,CONFIGURATION,60392050;60492050;60592050;60692050;60792050,"60392050, i=5 60492050, i=5 60592050, i=5 60692050, i=5 60792050, i=5",,,,,,"60392050, i=5 60492050, i=5 60592050, i=5 60692050, i=5 60792050, i=5"
B88,CONFIGURATION,60392080;60492080;60592080;60692080;60792080,"60392080, i=7.5 60492080, i=7.5 60592080, i=7.5 60692080, i=7.5 60792080, i=7.5",,,,,,"60392080, i=7.5 60492080, i=7.5 60592080, i=7.5 60692080, i=7.5 60792080, i=7.5"
B88,CONFIGURATION,60392100;60492100;60592100;60692100;60792100,"60392100, i=10 60492100, i=10 60592100, i=10 60692100, i=10 60792100, i=10",,,,,,"60392100, i=10 60492100, i=10 60592100, i=10 60692100, i=10 60792100, i=10"
B88,CONFIGURATION,60392130;60492130;60592130;60692130;60792130,"60392130, i=12.5 60492130, i=12.5 60592130, i=12.5 60692130, i=12.5 60792130, i=12.5",,,,,,"60392130, i=12.5 60492130, i=12.5 60592130, i=12.5 60692130, i=12.5 60792130, i=12.5"
B88,CONFIGURATION,60392150;60492150;60592150;60692150;60792150,"60392150, i=15 60492150, i=15 60592150, i=15 60692150, i=15 60792150, i=15",,,,,,"60392150, i=15 60492150, i=15 60592150, i=15 60692150, i=15 60792150, i=15"
B88,CONFIGURATION,60392200;60492200;60592200;60692200;60792200,"60392200, i=20 60492200, i=20 60592200, i=20 60692200, i=20 60792200, i=20",,,,,,"60392200, i=20 60492200, i=20 60592200, i=20 60692200, i=20 60792200, i=20"
B88,CONFIGURATION,60392250;60492250;60592250;60692250;60792250,"60392250, i=25 60492250, i=25 60592250, i=25 60692250, i=25 60792250, i=25",,,,,,"60392250, i=25 60492250, i=25 60592250, i=25 60692250, i=25 60792250, i=25"
B88,CONFIGURATION,60392300;60492300;60592300;60692300;60792300,"60392300, i=30 60492300, i=30 60592300, i=30 60692300, i=30 60792300, i=30",,,,,,"60392300, i=30 60492300, i=30 60592300, i=30 60692300, i=30 60792300, i=30"
B88,CONFIGURATION,60392400;60492400;60592400;60692400;60792400,"60392400, i=40 60492400, i=40 60592400, i=40 60692400, i=40 60792400, i=40",,,,,,"60392400, i=40 60492400, i=40 60592400, i=40 60692400, i=40 60792400, i=40"
B88,CONFIGURATION,60392500;60492500;60592500;60692500;60792500,"60392500, i=50 60492500, i=50 60592500, i=50 60692500, i=50 60792500, i=50",,,,,,"60392500, i=50 60492500, i=50 60592500, i=50 60692500, i=50 60792500, i=50"
B88,CONFIGURATION,60392600;60492600;60592600;60692600;60792600,"60392600, i=60 60492600, i=60 60592600, i=60 60692600, i=60 60792600, i=60",,,,,,"60392600, i=60 60492600, i=60 60592600, i=60 60692600, i=60 60792600, i=60"
B88,CONFIGURATION,60392800;60492800;60592800;60362800;60792800,"60392800, i=80 60492800, i=80 60592800, i=80 60362800, i=80 60792800, i=80",,,,,,"60392800, i=80 60492800, i=80 60592800, i=80 60362800, i=80 60792800, i=80"
B88,CONFIGURATION,60392000;60492000;60592000;60692000;60792000,"60392000, i=100 60492000, i=100 60592000, i=100 60692000, i=100 60792000, i=100",,,,,,"60392000, i=100 60492000, i=100 60592000, i=100 60692000, i=100 60792000, i=100"
B88,CONFIGURATION,60395500,NEMA 48C 60395500 N/A N/A N/A N/A,,,,,,NEMA 48C 60395500 N/A N/A N/A N/A
