vendor,product_line,component_type,variant,adapter_interface,adapter_code,motor_frame,motor_poles,motor_voltage,motor_efficiency,motor_hp,shaft_key,gear_unit_key,ratio,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,motor,STD,,56C,71S/4,4.0,230/460V-60Hz,STANDARD,0.3333333333333333,,,,32110012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B79,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
NORD,FLEXBLOC,motor,STD,,56C,71L/4,4.0,230/460V-60Hz,STANDARD,0.5,,,,32610012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B79,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
NORD,FLEXBLOC,motor,STD,,56C,80S/4,4.0,230/460V-60Hz,STANDARD,0.75,,,,33110012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B79,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
NORD,FLEXBLOC,motor,STD,,56C,80L/4,4.0,230/460V-60Hz,STANDARD,1.0,,,,33610022,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B79,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
NORD,FLEXBLOC,motor,STD,,56C,63S/4,4.0,575V-60Hz,STANDARD,0.16666666666666666,,,,31110013,C-face 575V-60Hz Standard Efficiency Motor Part Number,B79,"63S/4-56C 575V-60Hz, 1/6 hp 31110013"
NORD,FLEXBLOC,motor,STD,,56C,63L/4,4.0,575V-60Hz,STANDARD,0.25,,,,31610013,C-face 575V-60Hz Standard Efficiency Motor Part Number,B79,"63L/4-56C 575V-60Hz, 1/4 hp 31610013"
NORD,FLEXBLOC,motor,STD,,56C,71S/4,4.0,575V-60Hz,STANDARD,0.3333333333333333,,,,32110013,C-face 575V-60Hz Standard Efficiency Motor Part Number,B79,"71S/4-56C 575V-60Hz, 1/3 hp 32110013"
NORD,FLEXBLOC,motor,STD,,56C,71L/4,4.0,575V-60Hz,STANDARD,0.5,,,,32610013,C-face 575V-60Hz Standard Efficiency Motor Part Number,B79,"71L/4-56C 575V-60Hz, 1/2 hp 32610013"
NORD,FLEXBLOC,motor,STD,,56C,80S/4,4.0,575V-60Hz,STANDARD,0.75,,,,33110013,C-face 575V-60Hz Standard Efficiency Motor Part Number,B79,"80S/4-56C 575V-60Hz, 3/4 hp 33110013"
NORD,FLEXBLOC,motor,STD,,56C,80LH/4,4.0,230/460V-60Hz,ENERGY_EFFICIENT,1.0,,,,33610094,C-face 230/460V-60Hz Energy Efficient Motor Part Number,B79,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094"
NORD,FLEXBLOC,motor,STD,,56C,80LH/4,4.0,575V-60Hz,ENERGY_EFFICIENT,1.0,,,,33610095,C-face 575V-60Hz Energy Efficient Motor Part Number,B79,"80LH/4-56C 575V-60Hz, 1 hp 33610095"
NORD,FLEXBLOC,motor,STD,,56C,80LP/4,4.0,230/460V-60Hz,PREMIUM_EFFICIENT,1.0,,,,33610294,C-face 230/460V-60Hz Premium Efficient Motor Part Number,B79,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
NORD,FLEXBLOC,motor,STD,,56C,80LP/4,4.0,575V-60Hz,PREMIUM_EFFICIENT,1.0,,,,33610295,C-face 575V-60Hz Premium Efficient Motor Part Number,B79,"80LP/4-56C 575V-60Hz, 1 hp 33610295"
NORD,FLEXBLOC,adapter,ANY,NEMA,48C,,,,,,,,,60395500,NEMA and IEC Adapter  94 & 118 Part Number,B79,NEMA 48C 60395500
NORD,FLEXBLOC,adapter,ANY,NEMA,56C,,,,,,,,,60395510,NEMA and IEC Adapter  94 & 118 Part Number,B79,NEMA 56C 60395510
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_56_B14_C105,,,,,,,,,60395100,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 56 B14 C105 60395100
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_56_B5_A120,,,,,,,,,60395200,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 56 B5 A120 60395200
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_63_B14_C90,,,,,,,,,60395010,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 63 B14 C90 60395010
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_63_B14_C120,,,,,,,,,60395110,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 63 B14 C120 60395110
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_63_B5_A140,,,,,,,,,60395210,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 63 B5 A140 60395210
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_71_B14_C105,,,,,,,,,60395020,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 71 B14 C105 60395020
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_71_B14_C140,,,,,,,,,60395120,NEMA and IEC Adapter  94 & 118 Part Number,B79,IEC 71 B14 C140 60395120
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_0p625in_x_30mm,,,60393010,Plug in Shaft - Inch  122 Part Number,B79,Shaft 0.625” x 30mm 60393010
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,double_shaft_0p625in_x_30mm,,,60393110,Plug in Shaft - Inch  122 Part Number,B79,Double Shaft 0.625” x 30mm 60393110
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_output_flange_0p625in_x_30mm,,,60393210,Plug in Shaft - Inch  122 Part Number,B79,Shaft for Output Flange B5 0.625” x 30mm 60393210
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_14mm_x_30mm,,,60393000,Plug in Shaft - Metric   122 Part Number,B79,Shaft 14mm x 30mm 60393000
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,double_shaft_14mm_x_30mm,,,60393100,Plug in Shaft - Metric   122 Part Number,B79,Double Shaft 14mm x 30mm 60393100
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_output_flange_14mm_x_30mm,,,60393200,Plug in Shaft - Metric   122 Part Number,B79,Shaft for Output Flange B5 14mm x 30mm 60393200
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,,,,60393800,Plug in Shaft - Metric   122 Part Number,B79,I Flange - 105mm 60393800
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,,,,60393810,Plug in Shaft - Metric   122 Part Number,B79,"II Flange - 80mm, Square Flange, Female Pilot 60393810"
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,,,,60393820,Plug in Shaft - Metric   122 Part Number,B79,"III Flange - 80mm, Square Flange, Male Pilot 60393820"
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60393950,Shaft Cover  95 Part Number,B79,Shaft Cover 60393950
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60393900,Shaft Cover  95 Part Number,B79,Torque Arm 60393900
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60394600,Shaft Cover  95 Part Number,B79,Foot Plate 0.68” / 3.31” x 4.38” 60394600
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60693500,Shaft Cover  95 Part Number,B79,Open Vent 60693500
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,22008056,Shaft Cover  95 Part Number,B79,AUTOVENT™ 22008056
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60382910,Shaft Cover  95 Part Number,B79,Fixing Kit (Inch) 60382910
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60382330,Shaft Cover  95 Part Number,B79,Fixing Kit (metric) 60382330
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i5p0,5.0,60492050,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=5 60492050 60491050
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i5p0,5.0,60491050,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=5 60492050 60491050
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i7p0,7.0,60492080,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=7 .5 60492080 60491080
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i7p0,7.0,60491080,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=7 .5 60492080 60491080
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i10p0,10.0,60492100,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=10 60492100 60491100
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i10p0,10.0,60491100,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=10 60492100 60491100
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i12p5,12.5,60492130,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=12.5 60492130 60491130
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i12p5,12.5,60491130,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=12.5 60492130 60491130
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i15p0,15.0,60492150,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=15 60492150 60491150
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i15p0,15.0,60491150,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=15 60492150 60491150
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i20p0,20.0,60492200,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=20 60492200 60491200
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i20p0,20.0,60491200,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=20 60492200 60491200
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i25p0,25.0,60492250,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=25 60492250 60491250
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i25p0,25.0,60491250,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=25 60492250 60491250
