vendor,product_line,component_type,gear_unit_size,total_ratio,worm_ratio,second_ratio,adapter_interface,brake,mounting_variant,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,gear_unit,SI40,12.5,12.5,,ANY,false,metric_hollow,60491130,Gearbox 1.000 Hollow Shaft 18mm - Ratio 12.5,B81,i=12.5 60492130 60491130
NORD,FLEXBLOC,gear_unit,SI40,15,15,,ANY,false,inch_hollow,60492150,Gearbox 1.000 Hollow Shaft 18mm - Ratio 15,B81,i=15 60492150 60491150
NORD,FLEXBLOC,gear_unit,SI40,15,15,,ANY,false,metric_hollow,60491150,Gearbox 1.000 Hollow Shaft 18mm - Ratio 15,B81,i=15 60492150 60491150
NORD,FLEXBLOC,gear_unit,SI40,20,20,,ANY,false,inch_hollow,60492200,Gearbox 1.000 Hollow Shaft 18mm - Ratio 20,B81,i=20 60492200 60491200
NORD,FLEXBLOC,gear_unit,SI40,20,20,,ANY,false,metric_hollow,60491200,Gearbox 1.000 Hollow Shaft 18mm - Ratio 20,B81,i=20 60492200 60491200
NORD,FLEXBLOC,gear_unit,SI40,25,25,,ANY,false,inch_hollow,60492250,Gearbox 1.000 Hollow Shaft 18mm - Ratio 25,B81,i=25 60492250 60491250
NORD,FLEXBLOC,gear_unit,SI40,25,25,,ANY,false,metric_hollow,60491250,Gearbox 1.000 Hollow Shaft 18mm - Ratio 25,B81,i=25 60492250 60491250
NORD,FLEXBLOC,gear_unit,SI40,30,30,,ANY,false,inch_hollow,60492300,Gearbox 1.000 Hollow Shaft 18mm - Ratio 30,B81,i=30 60492300 60491300
NORD,FLEXBLOC,gear_unit,SI40,30,30,,ANY,false,metric_hollow,60491300,Gearbox 1.000 Hollow Shaft 18mm - Ratio 30,B81,i=30 60492300 60491300
NORD,FLEXBLOC,gear_unit,SI40,40,40,,ANY,false,inch_hollow,60492400,Gearbox 1.000 Hollow Shaft 18mm - Ratio 40,B81,i=40 60492400 60491400
NORD,FLEXBLOC,gear_unit,SI40,40,40,,ANY,false,metric_hollow,60491400,Gearbox 1.000 Hollow Shaft 18mm - Ratio 40,B81,i=40 60492400 60491400
NORD,FLEXBLOC,gear_unit,SI40,50,50,,ANY,false,inch_hollow,60492500,Gearbox 1.000 Hollow Shaft 18mm - Ratio 50,B81,i=50 60492500 60491500
NORD,FLEXBLOC,gear_unit,SI40,50,50,,ANY,false,metric_hollow,60491500,Gearbox 1.000 Hollow Shaft 18mm - Ratio 50,B81,i=50 60492500 60491500
NORD,FLEXBLOC,gear_unit,SI40,60,60,,ANY,false,inch_hollow,60492600,Gearbox 1.000 Hollow Shaft 18mm - Ratio 60,B81,i=60 60492600 60491600
NORD,FLEXBLOC,gear_unit,SI40,60,60,,ANY,false,metric_hollow,60491600,Gearbox 1.000 Hollow Shaft 18mm - Ratio 60,B81,i=60 60492600 60491600
NORD,FLEXBLOC,gear_unit,SI40,80,80,,ANY,false,inch_hollow,60492800,Gearbox 1.000 Hollow Shaft 18mm - Ratio 80,B81,i=80 60492800 60491800
NORD,FLEXBLOC,gear_unit,SI40,80,80,,ANY,false,metric_hollow,60491800,Gearbox 1.000 Hollow Shaft 18mm - Ratio 80,B81,i=80 60492800 60491800
NORD,FLEXBLOC,gear_unit,SI40,100,100,,ANY,false,inch_hollow,60492000,Gearbox 1.000 Hollow Shaft 18mm - Ratio 100,B81,i=100 60492000 60491000
NORD,FLEXBLOC,gear_unit,SI40,100,100,,ANY,false,metric_hollow,60491000,Gearbox 1.000 Hollow Shaft 18mm - Ratio 100,B81,i=100 60492000 60491000
NORD,FLEXBLOC,gear_unit,SI50,5,5,,ANY,false,inch_hollow,60592050,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 5,B83,i=5 60592050 60591050
NORD,FLEXBLOC,gear_unit,SI50,5,5,,ANY,false,metric_hollow,60591050,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 5,B83,i=5 60592050 60591050
NORD,FLEXBLOC,gear_unit,SI50,7.5,7.5,,ANY,false,inch_hollow,60592080,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 7.5,B83,i=7.5 60592080 60591080
NORD,FLEXBLOC,gear_unit,SI50,7.5,7.5,,ANY,false,metric_hollow,60591080,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 7.5,B83,i=7.5 60592080 60591080
NORD,FLEXBLOC,gear_unit,SI50,10,10,,ANY,false,inch_hollow,60592100,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 10,B83,i=10 60592100 60591100
NORD,FLEXBLOC,gear_unit,SI50,10,10,,ANY,false,metric_hollow,60591100,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 10,B83,i=10 60592100 60591100
NORD,FLEXBLOC,gear_unit,SI50,12.5,12.5,,ANY,false,inch_hollow,60592130,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 12.5,B83,i=12.5 60592130 60591130
NORD,FLEXBLOC,gear_unit,SI50,12.5,12.5,,ANY,false,metric_hollow,60591130,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 12.5,B83,i=12.5 60592130 60591130
NORD,FLEXBLOC,gear_unit,SI50,15,15,,ANY,false,inch_hollow,60592150,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 15,B83,i=15 60592150 60591150
NORD,FLEXBLOC,gear_unit,SI50,15,15,,ANY,false,metric_hollow,60591150,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 15,B83,i=15 60592150 60591150
NORD,FLEXBLOC,gear_unit,SI50,20,20,,ANY,false,inch_hollow,60592200,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 20,B83,i=20 60592200 60591200
NORD,FLEXBLOC,gear_unit,SI50,20,20,,ANY,false,metric_hollow,60591200,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 20,B83,i=20 60592200 60591200
NORD,FLEXBLOC,gear_unit,SI50,25,25,,ANY,false,inch_hollow,60592250,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 25,B83,i=25 60592250 60591250
NORD,FLEXBLOC,gear_unit,SI50,25,25,,ANY,false,metric_hollow,60591250,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 25,B83,i=25 60592250 60591250
NORD,FLEXBLOC,gear_unit,SI50,30,30,,ANY,false,inch_hollow,60592300,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 30,B83,i=30 60592300 60591300
NORD,FLEXBLOC,gear_unit,SI50,30,30,,ANY,false,metric_hollow,60591300,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 30,B83,i=30 60592300 60591300
NORD,FLEXBLOC,gear_unit,SI50,40,40,,ANY,false,inch_hollow,60592400,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 40,B83,i=40 60592400 60591400
NORD,FLEXBLOC,gear_unit,SI50,40,40,,ANY,false,metric_hollow,60591400,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 40,B83,i=40 60592400 60591400
